The Shawshank Redemption,(1994),9.2,2h 22min,Drama,October 14| 1994 (United States)
The Godfather,(1972),9.1,2h 55min,Crime,March 24| 1972 (United States)
The Godfather: Part II,(1974),9.0,3h 22min,Crime,December 18| 1974 (United States)
The Dark Knight,(2008),9.0,2h 32min,Action,July 18| 2008 (United States)
12 Angry Men,(1957),8.9,1h 36min,Crime,April 10| 1957 (United States)
Schindler's List,(1993),8.9,3h 15min,Biography,February 4| 1994 (United States)
The Lord of the Rings: The Return of the King,(2003),8.9,3h 21min,Action,December 17| 2003 (United States)
Pulp Fiction,(1994),8.8,2h 34min,Crime,October 14| 1994 (United States)
The Good| the Bad and the Ugly,(1966),8.8,2h 58min,Western,December 29| 1967 (United States)
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,2h 58min,Action,December 19| 2001 (United States)
Fight Club,(1999),8.8,2h 19min,Drama,October 15| 1999 (United States)
Forrest Gump,(1994),8.7,2h 22min,Drama,July 6| 1994 (United States)
Inception,(2010),8.7,2h 28min,Action,July 16| 2010 (United States)
The Lord of the Rings: The Two Towers,(2002),8.7,2h 59min,Action,December 18| 2002 (United States)
Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,2h 4min,Action,June 20| 1980 (United States)
The Matrix,(1999),8.6,2h 16min,Action,March 31| 1999 (United States)
Goodfellas,(1990),8.6,2h 26min,Biography,September 21| 1990 (United States)
One Flew Over the Cuckoo's Nest,(1975),8.6,2h 13min,Drama,November 19| 1975 (United States)
Seven Samurai,(1954),8.6,3h 27min,Action,November 19| 1956 (United States)
Se7en,(1995),8.6,2h 7min,Crime,September 22| 1995 (United States)
The Silence of the Lambs,(1991),8.6,1h 58min,Crime,February 14| 1991 (United States)
City of God,(2002),8.6,2h 10min,Crime,February 13| 2004 (United States)
Life Is Beautiful,(1997),8.6,1h 56min,Comedy,December 20| 1997 (Italy)
It's a Wonderful Life,(1946),8.6,2h 10min,Drama,January 7| 1947 (United States)
Star Wars: Episode IV - A New Hope,(1977),8.6,2h 1min,Action,May 25| 1977 (United States)
Saving Private Ryan,(1998),8.5,2h 49min,Drama,July 24| 1998 (United States)
Spirited Away,(2001),8.5,2h 5min,Animation,March 28| 2003 (United States)
Interstellar,(2014),8.5,2h 49min,Adventure,November 7| 2014 (United States)
The Green Mile,(1999),8.5,3h 9min,Crime,December 10| 1999 (United States)
Parasite,(2019),8.5,2h 12min,Comedy,November 8| 2019 (United States)
Léon: The Professional,(1994),8.5,1h 50min,Action,November 18| 1994 (United States)
Hara-Kiri,(1962),8.5,2h 13min,Action,August 4| 1964 (United States)
The Pianist,(2002),8.5,2h 30min,Biography,March 28| 2003 (United States)
The Usual Suspects,(1995),8.5,1h 46min,Crime,August 16| 1995 (United States)
Terminator 2: Judgment Day,(1991),8.5,2h 17min,Action,July 3| 1991 (United States)
Back to the Future,(1985),8.5,1h 56min,Adventure,July 3| 1985 (United States)
Psycho,(1960),8.5,1h 49min,Horror,September 8| 1960 (United States)
Modern Times,(1936),8.5,1h 27min,Comedy,February 25| 1936 (United States)
The Lion King,(1994),8.5,1h 28min,Animation,June 24| 1994 (United States)
American History X,(1998),8.5,1h 59min,Drama,November 20| 1998 (United States)
City Lights,(1931),8.5,1h 27min,Comedy,March 7| 1931 (United States)
Grave of the Fireflies,(1988),8.5,1h 29min,Animation,July 26| 1989 (United States)
Gladiator,(2000),8.5,2h 35min,Action,May 5| 2000 (United States)
Whiplash,(2014),8.5,1h 46min,Drama,October 15| 2014 (Philippines)
The Departed,(2006),8.5,2h 31min,Crime,October 6| 2006 (United States)
The Intouchables,(2011),8.5,1h 52min,Biography,November 2| 2011 (France)
The Prestige,(2006),8.5,2h 10min,Drama,October 20| 2006 (United States)
Casablanca,(1942),8.4,1h 42min,Drama,January 23| 1943 (United States)
Once Upon a Time in the West,(1968),8.4,2h 45min,Western,July 4| 1969 (United States)
Rear Window,(1954),8.4,1h 52min,Mystery,September 1| 1954 (United States)
Cinema Paradiso,(1988),8.4,2h 35min,Drama,February 23| 1990 (United States)
Alien,(1979),8.4,1h 57min,Horror,June 22| 1979 (United States)
Apocalypse Now,(1979),8.4,2h 27min,Drama,August 15| 1979 (United States)
Memento,(2000),8.4,1h 53min,Mystery,May 25| 2001 (United States)
Indiana Jones and the Raiders of the Lost Ark,(1981),8.4,1h 55min,Action,June 12| 1981 (United States)
The Great Dictator,(1940),8.4,2h 5min,Comedy,March 7| 1941 (United States)
The Lives of Others,(2006),8.4,2h 17min,Drama,March 30| 2007 (United States)
Django Unchained,(2012),8.4,2h 45min,Drama,December 25| 2012 (United States)
Paths of Glory,(1957),8.4,1h 28min,Drama,December 25| 1957 (United States)
Sunset Blvd.,(1950),8.4,1h 50min,Drama,September 29| 1950 (Australia)
WALL·E,(2008),8.4,1h 38min,Animation,June 27| 2008 (United States)
The Shining,(1980),8.4,2h 26min,Drama,June 13| 1980 (United States)
Avengers: Infinity War,(2018),8.4,2h 29min,Action,April 27| 2018 (United States)
Witness for the Prosecution,(1957),8.4,1h 56min,Crime,February 6| 1958 (United States)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,1h 35min,Comedy,January 29| 1964 (United States)
Spider-Man: Into the Spider-Verse,(2018),8.4,1h 57min,Animation,December 14| 2018 (United States)
Joker,(2019),8.4,2h 2min,Crime,October 4| 2019 (United States)
